Reading Cards (Japanese),Reading Cards (English),getting cards,Author,Category,update,downloads,,
読み札,,取り札,作者名,,最終アップデート,ダウンロード数,備考（一言コメント）,2013
ページナビゲーション（ページ送り）を作成するプラグイン,A plugin that helps build page navigation.,WP-PageNavi,"Lester Chan, scribu",plugin,2013/11/21,"Downloads: 4,777,934",,
テーマの品質に対するガイドラインに適合しているかどうかをチェックするためのプラグイン,The plugin that checks whether a theme complies with theme review guidelines.,Theme Check,"Pross, Otto42",plugin,2014/9/12,Downloads: 332464,,
ユーザー権限を細かくカスタマイズできるプラグイン,The plugin that helps customize user permissions further.,User Role Editor,Vladimir Garagulya,plugin,2014/9/11,"Downloads: 1,391,512",,
表示中のページで利用しているテンプレートファイル名を管理バーに表示するプラグイン,The plugin that displays the template file name used in the current page within the admin bar.,Show Current Template,JOTAKI Taisuke*,plugin,2014/8/30,"Downloads: 6,108",,
項目をショートコードで記述する確認画面付きフォームプラグイン,The plugin for inquiry forms with the confirmation screen. We can use a short cord to describe an item.,MW WP Form,"Takashi Kitajima*, ryu263*",plugin,2014/9/22,"Downloads: 27,399",,
管理画面の投稿記事一覧画面でドラッグアンドドロップでの並び替えを行うプラグイン,The plugin that enables you to rearrange posts via drag & drop within WP-Admin.,Intuitive Custom Post Order,hijiri*,plugin,2014/4/9,"Downloads: 96,081",,
日本発のカスタムフィールドの入力を最適化するプラグイン,The plugin that helps optimize the input of a custom field. This is a plugin was made in Japan.,Custom Field Template,Hiroaki Miyashita*,plugin,2014/4/21,"Downloads: 554,490",,
独自のテーブルやコメントなどを利用せずにWebサイトの多言語化ができるプラグイン,The plugin that allows your site to support multiple languages without generating extra database tables.,Bogo,Takayuki Miyoshi*,plugin,2014/9/14,"Downloads: 16,599",,
WordPressが生成する動的Webページを静的ファイルとして出力するプラグイン,The plugin to output static files from WordPress' dynamic ones.,StaticPress,"wokamoto*, megumithemes*",plugin,2014/7/15,"Downloads: 4,331",Crazy Bone,
ログイン時のユーザー名をメールアドレスに変更し、ブルートフォースアタック対策となるプラグイン,The plugin to change the user's login name into their e-mail address. This may be effective for brute force attack.,Force Email Login,Takayuki Miyauchi*,plugin,2014/7/21,"Downloads: 3,685",Nginx Cache Controller,
管理画面からカスタム投稿タイプ、カスタム分類の定義を行うことができるプラグイン,This plugin provides an easy to use interface to create and administer custom post types and taxonomies.,Custom Post Type UI,"Brad Williams, Michael Beckwith, webdevstudios",plugin,2014/8/30,545472,,
カテゴリー、タグなどの登録をラジオボタンにしたり、順序を設定できるようにするなど、タクソノミーの使い勝手を向上させるプラグイン,"This plugin makes easy to use categories, tags and custom taxonomies on editing posts.",PS Taxonomy Expander,"jim912*, gatespace*",plugin,2014/4/23,21781,Stop the Bokettch,
Google Analyticsのデータを元にしたアクセス数ランキングプラグイン,This plugin shows a site's ranking using google analytics.,Simple GA Ranking,"horike*, megumithemes*",plugin,2014/7/2,1374,WP Simple Related Posts,
検索エンジン向けのサイトマップXMLを出力するプラグイン,This plugin generates a special XML sitemap which will help search engines.,Google XML Sitemaps,arnee,plugin,2014/6/23,15077319,,
FacebookやTwitterなどでのWebサービスでWordPressへのログインが可能にするプラグイン,"This plugin enables users to login/register with another webservice accounts like Facebook, Twitter, and so on.",Gianism,Takahashi Fumiki*,plugin,2014/9/22,6697,,
作成済みの記事をコピーして新しい下書きを作成するプラグイン,"This plugin allows editors to clone a post or page, or edit it as a new draft.",Duplicate Post,lopo,plugin,2014/2/27,738626,,
記事内やコメントに記述されたリンクや画像がリンク切れを起こしていないかチェックするプラグイン,This plugin will monitor your blog for broken links and let you know if any are found.,Broken Link Checker,Janis Elsts,plugin,2014/8/26,2734586,Admin Menu Editorと作者同じ,
画像のアップロードとリンク先の設定で、バナー掲載を簡単にするプラグイン,A simple plugin that uses the native WordPress media manager to add image widgets to your site.,Image Widget,"Modern Tribe Inc., Peter Chester",plugin,2014/5/5,1242167,,
